Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
2066430898,"Jan 9, 2019, 12:07:55 PM",Cold run after two rest days. 34°F,Run,"Finished Mr. Penumbra's 24-Hour Bookstore, started Finding Ultra.",2556,7.61,,false,,activities/2207683068.tcx.gz
2068694215,"Jan 10, 2019, 12:17:17 PM",Cold Thursday morning run. 21°F,Run,"Listening to The Rise and Fall off D.O.D.O.

Had to cut short, strong dull pain in both shins. Probably from running too long on a hard treadmill in min. shoes last night. ",1700,4.53,,false,,activities/2210024809.tcx.gz
2071636098,"Jan 11, 2019, 7:13:56 PM",Ran during the commencement of the Great January Snowpocalypse of STL. 30°F.,Run,Listening to The Rise and Fall of D.O.D.O.,3157,9.18,,false,,activities/2213060753.tcx.gz
2074013230,"Jan 12, 2019, 6:33:41 PM",Just playing in the snow. 34°F,Run,"Shins getting sore again.

Listening to The Rise and Fall off D.O.D.O.",1955,5.74,,false,,activities/2215551659.tcx.gz
2075846300,"Jan 13, 2019, 2:01:28 PM","Still snowing, still going. Run w/ Ali in TGP. 29°F",Run,"Slush has mercifully turned to ice. Shin bones hurt again, but only during and immediately after the run. Hopefully just a cold thing.",2193,6.02,,false,,activities/2217646934.tcx.gz
2082481240,"Jan 16, 2019, 12:33:41 PM",Short run after two days rest. 34°F,Run,"Finished The Rise and Fall of D O.D.O.

Taking it easy on the shins for a while. Felt good today.",1178,3.38,,false,,activities/2224824358.tcx.gz
2084679732,"Jan 17, 2019, 12:31:47 PM",Foggy doggy short run. 36°F,Run,"Very humid, calf and shins sore. Maybe linked to cold and humidity?

Listening to Finding Ultra by Rich Roll. Total downer.",1170,3.31,,false,,activities/2227094173.tcx.gz
2089263864,"Jan 19, 2019, 1:59:41 PM","Rainy, windy morning run with Ali. 36°F",Run,"Finished listening to Lincoln at the Bardo. 

Wore full sweats to keep legs warm. Shins feel pretty good.",3655,10.72,,false,,activities/2231833821.tcx.gz
2091939433,"Jan 20, 2019, 2:41:30 PM","Cold snap, 12°F. Go Chiefs.",Run,"Listening to Finding Ultra by Rich Roll.

Shins hurt again. I'm beginning to really think it has to do with the cold 😩",2132,5.70,,false,,activities/2234614506.tcx.gz
2119499165,"Feb 2, 2019, 4:00:21 PM",Let Spring Training Begin!,Run,"Shins feel good.

Listening to Finding Ultra by Rich Roll, the part on running the Hawaii Ultra Iron Man, at 42, after starting training at 40.",1693,5.04,36,false,,activities/2263024256.tcx.gz
2121735138,"Feb 3, 2019, 2:01:13 PM",No time for slouching! Sunday morning run with Ali. Go Rams!,Run,Finally warm. 43°F. Listening to Finding Ultra. ,2810,8.09,,false,,activities/2265380911.tcx.gz
2127097887,"Feb 5, 2019, 11:54:50 PM","Spooky Tuesday night run. 36°F, foggy.",Run,Listening to Cuckoo's Calling by Robert Galbraith. Legs feel good. Achilles a little sore.,2588,7.78,,false,,activities/2270918409.tcx.gz
2202410810,"Mar 9, 2019, 8:51:03 PM",First run in more than a month. Low and slow. 51°F and sunny.,Run,"Took 6 weeks off due to Achilles tendonitis. Feels very good now. Going to slowly ramp up.

Listening to Canticle for Leibowitz by Walter M. Miller.",531,1.64,6,false,,activities/2346505882.tcx.gz
2217033787,"Mar 16, 2019, 1:21:00 PM",4th 1mi run in a week. 31°F.,Run,"Can sometimes feel the Achilles, but not pain or discomfort. Has felt fine every day after so far.

Listening to ""The Incomplete Book of Running"" by Peter Sagal",733,2.11,,false,,activities/2217033787.gpx
2240787895,"Mar 25, 2019, 11:09:01 PM",Hit the pavement instead of the tread. 54°F,Run,Listening to All Clear by Connie Willis,820,2.54,2,false,,activities/2386182582.tcx.gz
2245777577,"Mar 27, 2019, 11:10:04 PM",Testing out ankle on some inclines. 55°F,Run,Listening to All Clear.,801,2.50,1,false,,activities/2391326218.tcx.gz
2256206155,"Mar 31, 2019, 10:24:46 PM","Sun's out, spring is here. Tired of coddling myself. Let's get back into marathon shape. 45°F",Run,"Listening to The Incomplete Book of Running by Peter Sagal. Inspiring to hear about him running the Chicago Marathon two months after getting hit by a car and breaking his back. Let's be cautious, but go for it.",1538,4.77,,false,,activities/2402224974.tcx.gz
2258447976,"Apr 1, 2019, 11:01:05 PM",Outdoor run while Carly hits the free weights. 54°F,Run,Listening to The Incomplete Book if Running by Peter Sagal,1202,3.83,14,false,,activities/2404550288.tcx.gz
2260990703,"Apr 2, 2019, 11:24:24 PM",Running with the Happy's Running Club in TGP. Good boost! Maybe too fast.,Run,"",1559,5.32,19,false,,activities/2407177870.tcx.gz
2269323626,"Apr 6, 2019, 2:27:14 PM","I love this park. Flowering trees, casual races, and horses! 60°F",Run,"Finished the Incomplete Book of Running by Peter Sagal. A very light hearted, but fulfilling, story of a guy with a great sense of humor who started running in his 30s. Recommended.",1698,5.34,0,false,,activities/2415784126.tcx.gz
2275836182,"Apr 8, 2019, 11:32:30 PM",Ran into a friend mid-run! 75°F,Run,Listening to All Clear by Connie Willis,1273,3.81,3,false,,activities/2422636520.tcx.gz
2278314708,"Apr 9, 2019, 11:27:59 PM",Happy's Tuesday. 75°F and happy out.,Run,Finished All Clear by Connie Willis. Finally.,1415,4.51,4,false,,activities/2425204244.tcx.gz
2286710114,"Apr 13, 2019, 1:35:28 PM",First TG Farmers Market of the Year. 48°F,Run,Listening to Dune by Frank Herbert,2394,7.26,,false,,activities/2433894520.tcx.gz
2292875593,"Apr 15, 2019, 11:12:25 PM",Outdoor run while Carly trains. 68°F,Run,Listening to Dune by Frank Herbert,1086,3.31,,false,,activities/2440368734.tcx.gz
2295478833,"Apr 16, 2019, 11:25:05 PM",Another maybe-too-fast run with Happy's. 81°F,Run,Listening to Dune by Frank Herbert,1430,4.95,4,false,"",activities/2443065089.tcx.gz
2302337346,"Apr 19, 2019, 3:35:13 PM",Either you ran today or you didn't. 46°F,Run,"Strava bugging out and pausing my run mid run. Really 4.5mi.

Listening to Lost Gods: A Novel by Brom. Kinda like American Gods meets Dante's Inferno.",1548,4.58,2,false,"",activities/2450195909.tcx.gz
2304788920,"Apr 20, 2019, 2:02:13 PM",Weekend run with a friend.  54°F,Run,Listening to Lost Gods: A Novel by Brom,1714,4.95,5,false,"",activities/2452766800.tcx.gz
2311304974,"Apr 22, 2019, 10:54:23 PM",Run while Carly's at the gym. 81°F,Run,Listening to Lost Gods by Brom,1324,3.88,,false,"",activities/2311304974.gpx
2314134705,"Apr 23, 2019, 11:22:31 PM",Happy's Tuesday. 64°F and cloudy,Run,"",1537,5.17,,false,"",activities/2462613544.tcx.gz
2323372440,"Apr 27, 2019, 4:49:09 PM",Rainy Saturday morning doesn't keep TGP peeps indoors. 55°F,Run,Listening to Spinning Silver by Naomi Novik,2569,8.08,,false,"",activities/2323372440.gpx
2331824110,"Apr 30, 2019, 11:14:24 PM",Running between lightning bolts. 67°F and stormy.,Run,Listening to Spinning Silver by Naomi Novik,1138,3.65,,false,"",activities/2481107250.tcx.gz
2335015010,"May 1, 2019, 10:52:00 PM",Dipping my toes in the park while Carly lifts. 75°F,Run,"So many hills.

Listening to Spinning Silver by Naomi Novik. 10/18hrs.",1875,5.90,,false,"",activities/2484442623.tcx.gz
2341152965,"May 4, 2019, 1:23:48 PM",Morning run with the baby horse! 55°F,Run,Listening to Spinning Silver by Naomi Novik. 14/18 hours.,3141,9.67,0,false,"",activities/2490847274.tcx.gz
2345157266,"May 5, 2019, 8:28:19 PM",Sunny Midday Run. 75°F,Run,Listening to The Lathe of Heaven by Ursula K Le Guin.,2054,6.60,,false,"",activities/2495052909.tcx.gz
2347726809,"May 6, 2019, 11:41:18 PM",Monday Run Day. 75°F,Run,Listening to the start of The Dead Zone by Stephen King.,2035,6.58,,false,"",activities/2497744126.tcx.gz
2350327895,"May 7, 2019, 11:24:17 PM",Happy's 6-year Anniversary Run. 79°F,Run,Listening to The Dead Zone by Stephen King. 3.5/16hrs.,1442,4.78,5,false,"",activities/2500447326.tcx.gz
2377419445,"May 18, 2019, 2:14:21 PM","Back from Yellowstone, back to running. Sunny, still, 79°F.",Run,"It's hotter than Wyoming.

Listening to The Graveyard Book by Neil Garman",1484,5.04,,false,"",activities/2528488431.tcx.gz
2381525738,"May 19, 2019, 8:27:52 PM","Sunday Afternoon. Partly cloudy, gusty, lovely. 79°F",Run,"Listening to The Graveyard Book by Neil Gaiman, 3/7.5hr.",2104,6.50,9,false,"",activities/2532760850.tcx.gz
2384874717,"May 21, 2019, 11:07:26 AM","Morning jog. Wet, cool, breezy. 48°F",Run,"First morning run in a long time.

Listening to The Graveyard Book by Neil Gaiman. Hour 6/7.5.",1654,5.21,,false,"",activities/2536204721.tcx.gz
2392137790,"May 23, 2019, 11:08:15 PM","Get busy running, or get busy... Not running? 🤷‍♂️ 82°F, still.",Run,Listening to The Power by Naomi Alderman. 7/12hrs.,1989,6.58,,false,"",activities/2543653925.tcx.gz
2396479680,"May 25, 2019, 3:57:52 PM","Saturday morning jaunt. Hot, sweaty, cramping. 80°F, cloudy, humid.",Run,"First time in a while I had to stop to catch my breath.

Park overrun with PokemonGO players.

Started listening to A Gentleman in Moscow by Amor Towles.",2292,6.93,4,false,"",activities/2548138675.tcx.gz
2401914694,"May 27, 2019, 4:50:43 PM",Wind is a small mercy. 85°F,Run,Listening to A Gentlemen in Moscow by Amor Towles. 12/17 hrs ,2104,6.39,1,false,"",activities/2553803911.tcx.gz
2405201791,"May 28, 2019, 11:22:49 PM",Hot and Happy's. 86°F,Run,Finished A Gentleman in Moscow by Amor Towles. ⭐⭐⭐⭐⭐,1469,4.74,3,false,"",activities/2557192769.tcx.gz
2408830909,"May 30, 2019, 11:24:21 AM","Thursday morning, refreshingly not raining, and cool. 64°F.",Run,Listening to Revival by Stephen King. 10/13 hrs.,2463,7.42,6,false,"",activities/2560945027.tcx.gz
2412872768,"May 31, 2019, 11:18:34 PM","Bagel, pizza, bagel slices, pizza, beer beer. Better go for a run... 81°F",Run,Started listening to Children of Ruin by Adrian Tchaikovsky.,2293,7.00,,false,"",activities/2565126252.tcx.gz
2418356089,"Jun 2, 2019, 4:55:57 PM",Prancing Past the Populace at The Pagan Picnic. 79°F and sunny.,Run,Listening to Children of Ruin by Adrian Tchaikovsky. 6/15 hrs.,3008,9.22,3,false,"",activities/2570826220.tcx.gz
2421496678,"Jun 3, 2019, 11:06:00 PM","According to my map, I ran the shape of Florida. 75°F",Run,Listened to the end of Children of Ruin by Adrian Tchaikovsky.,1804,5.35,13,false,"",activities/2574077009.tcx.gz
2424266165,"Jun 4, 2019, 11:19:57 PM","Happy's, before the storm rolls in. 81°F, and as humid as a pot of porridge.",Run,"Listening to Fall, or Dodge in Hell by Neil Stephenson. 1/31 hrs.",1538,5.29,,false,"",activities/2576926709.tcx.gz
2427038936,"Jun 5, 2019, 11:08:54 PM",I loop around the animal zoo while Carly lifts around the human zoo. 90°F and hilly.,Run,"Listening to ""Fall, or Dodge in Hell"" by Neil Stephenson. 6/32 hrs ",2432,6.93,13,false,"",activities/2579787338.tcx.gz
2433602132,"Jun 8, 2019, 2:22:56 PM","Cool, humid, slow, far. 68°F",Run,"Listening to ""Fall, or Dodge in Hell"" by Neil Stephenson. 18.5/32 hrs.",4500,13.03,26,false,"",activities/2586568495.tcx.gz
2437179257,"Jun 9, 2019, 4:36:29 PM",Crawling between canopies and clouds. 84°F and as muggy as a stein.,Run,"Listening to ""Fall; or Dodge in Hell"" by Neil Stephenson. 21/32 hrs.",3579,9.99,6,false,"",activities/2590292454.tcx.gz
2440389658,"Jun 10, 2019, 11:17:56 PM",Too nice out to stay in. 76°F and breezy.,Run,"Listening to ""Fall; or Dodge in Hell"" by Neil Stephenson. 25/32 hrs. Boy, I hope this narrator got paid by the minute.",3191,9.92,29,false,"",activities/2593628878.tcx.gz
2442992109,"Jun 11, 2019, 11:22:09 PM",Happy's Run going Happy's Fast. 81°F,Run,"Listening to ""Fall; or Dodge in Hell"" by Neil Stephenson. 28/32 hrs.",2317,7.75,,false,"",activities/2596304276.tcx.gz
2448074378,"Jun 13, 2019, 11:04:34 PM",Quick 5k before dinner. 73°F and gawgeous.,Run,"Started listening to ""Recursion"" by Blake Crouch. 2/11 hrs.",1590,5.04,0,false,"",activities/2601547607.tcx.gz
2455243966,"Jun 16, 2019, 1:18:25 PM","Still got it. First Half since October. 73°F, cloudy, wet.",Run,"Listening to ""Player of Games"" by Iain M. Banks. 2/11 hrs.",7290,21.23,29,false,"",activities/2608983537.tcx.gz
2461717835,"Jun 18, 2019, 11:22:35 PM","Happy's Run after a Half. 82°F, sunny, still.",Run,"Listening to ""Player of Games"" by Iain M. Banks. 4/11 hrs.",1385,4.72,,false,"",activities/2461717835.gpx
2464404040,"Jun 19, 2019, 11:09:09 PM","Carly gym Bryan run. 81°F, sunny, breezy.",Run,"Listening to ""Player of Games"" by Iain M. Banks. 8/11 hrs.",1812,5.77,5,false,"",activities/2618436774.tcx.gz
2471218269,"Jun 22, 2019, 2:14:57 PM","Country roooooad, Take me hoooome 🎶. 72°F, sunny, breezy, flat.",Run,"Listening to ""All Gifts, Bestowed"" by Joshua Gayou. 10/12 hrs.",2906,8.77,1,false,"",activities/2625502207.tcx.gz
2484503571,"Jun 27, 2019, 11:26:40 AM",At least the storms bring cool mornings. 66°F,Run,"Listening to ""The Outsider"" by Stephen King. 13/19 hrs.",1664,5.17,3,false,"",activities/2639226558.tcx.gz
2491203577,"Jun 29, 2019, 11:56:40 PM","Hot sweaty evening run during PRIDE Fest. 91°F, sunny, still.",Run,"Listening to ""The Woman in the Window"" by A.J. Finn. 3/14 hrs.",1971,5.81,6,false,"",activities/2646141746.tcx.gz
2492668560,"Jun 30, 2019, 2:41:27 PM","Rough sauce. 88°F, sunny.",Run,"Listening to ""The Woman in the Window"" by A.J. Finn. 9/14 hrs.

Including a treadmill foray, that's 85 miles for the month. Going for at least 100 in July.",3135,8.97,19,false,"",activities/2647693370.tcx.gz
2494873446,"Jul 1, 2019, 11:26:33 AM","Super tired after pool day. 77°F, humid, still.",Run,"Gunning for 100 miles in July. Let's go.

Listening to ""The Woman in the Window"" by A.J. Finn. 8/14 hrs.",2161,6.41,3,false,"",activities/2650087091.tcx.gz
2496429643,"Jul 1, 2019, 10:05:31 PM","Not a treadmill guy, but... y'know. Climate change. @BJCMove",Run,"Finished ""The Woman in the Window"" by A.J. Finn.",1728,5.15,,false,"",
2499446758,"Jul 2, 2019, 11:22:51 PM","Running Hot, Running Happy. 84°F, partly cloudy, humid.",Run,"12.3/100 mile July Goal.

Listening to ""A Natural History of Dragons"" by Marie Brennan. 5/10 hrs.",2696,8.36,8,false,"",activities/2654822186.tcx.gz
2500487325,"Jul 3, 2019, 11:33:01 AM","Quick morning jaunt. 74°F, sunny.",Run,"15.4/100 miles

Listening to ""A Natural History of Dragons"" by Marie Brennan. 7/10 hrs.",1649,4.96,3,false,"",activities/2655893830.tcx.gz
2509726744,"Jul 6, 2019, 4:47:04 PM",Paddling with the pupper.,Kayaking,,5676,3.14,,false,,activities/2509726744.gpx
2513295256,"Jul 7, 2019, 9:25:35 PM","Back at it after Vacay. 89°F, scorching, partly cloudy.",Run,"Listening to ""Superforecasting: The Art and Science of Prediction"" by Philip Tetlock and Dan Gardner. 4/10 hrs.

18.4/100 miles",1535,4.74,3,false,"",activities/2668942332.tcx.gz
2514358789,"Jul 8, 2019, 11:15:52 AM","Good Morning Saint Lou. 73°F, sunny.",Run,"Listening to ""Superforecasting: The Art and Science of Prediction"" by Philip Tetlock and Dan Gardner. 6/10 hrs.

23.3/100 miles",2557,7.89,11,false,"",activities/2670030132.tcx.gz
2519118736,"Jul 9, 2019, 11:24:13 PM","Happy's + change. Perfectly timed storm cloud. 88°F, cloudy, breezy.",Run,"Listening to ""The Running Man"" by Richard Bachman. 1/7 hrs.

29/100 mile July goal.",2978,9.26,12,false,"",activities/2674773359.tcx.gz
2520156375,"Jul 10, 2019, 11:23:23 AM","Morning run two days after leg day 😬. My legs are sausages made of suffering. 78°F, still, humid.",Run,"Listening to ""The Running Man"" Richard Bachman. 2/7 hrs.

32/100 mile goal for July.",1813,5.03,3,false,"",activities/2675837806.tcx.gz
2522922390,"Jul 11, 2019, 11:09:38 AM","Nice mor--HOLY HOLLY, a Red-Tailed Hawk!",Run,"72°F, cool, sunny.

Listening to ""The Running Man"" by Richard Bachman. 3/7 hrs.

37/100 mile July goal.",2635,7.49,10,false,"",activities/2678663976.tcx.gz
2525528399,"Jul 12, 2019, 11:05:43 AM",Lovely (albeit hawkless) sunrise run. 70°F,Run,"Listening to ""The Running Man"" by Richard Bachman. 6/7 hrs.

42/100 mile goal for July.",2807,8.07,30,false,"",activities/2681374683.tcx.gz
2528630827,"Jul 13, 2019, 2:03:06 PM","Hawk Buddy! GPS on the fritz. 81°F, not too toasty.",Run,"Finished listening to ""The Running Man"" by Richard Bachman. 7/7 hrs.

Started up REAMDE by Neil Stephenson. 1/38 hrs.

47/100 mile goal for July.",2614,6.66,0,false,"",activities/2684604328.tcx.gz
2531590516,"Jul 14, 2019, 1:01:45 PM","Side cramps cutting my run short. 81°F, sunny, breezy",Run,"Listening to REAMDE by Neil Stephenson. 4/38 hrs.

56/100 mile goal for July.",4448,13.10,7,false,"",activities/2687665829.tcx.gz
2531696535,"Jul 14, 2019, 2:34:16 PM",Post cramp run.,Run,"",813,2.22,6,false,"",activities/2687777852.tcx.gz
2536540662,"Jul 16, 2019, 11:29:20 AM",Short excursion to break in new shoes. 73°F and misting.,Run,"Found out I had run 250 miles in shoes one size too large.

Listening to REAMDE by Neil Stephenson. 7/38 hrs.

58/100 mile July goal. ",1120,3.48,,false,"",activities/2692770031.tcx.gz
2538471364,"Jul 16, 2019, 11:21:16 PM","Happy's. Break ALL the PRs! 84°F, partly cloudy.",Run,"Listening to REAMDE by Neil Stephenson. 9/38 hrs.

61/100 mile July goal.",1495,5.23,,false,"",activities/2538471364.gpx
2542416359,"Jul 18, 2019, 11:33:31 AM","Stay frosty today, everyone. 73°F, cloudy, cool, humid.",Run,"Listening to REAMDE by Neil Stephenson. 12/38 hrs.

64/100 mile July goal.",1482,4.85,,false,"",activities/2698791877.tcx.gz
2545055845,"Jul 19, 2019, 11:10:01 AM","Like running through canned tuna. Makes for nice sunbeams tho. 80°F (@6AM!), still, muggy.",Run,"Listening to REAMDE by Neil Stephenson. 15/38 hrs.

68/100 mile July goal.",2085,6.48,1,false,"",activities/2701502494.tcx.gz
2548535944,"Jul 20, 2019, 4:20:36 PM",Watch apparently didn't want to record my activity. 93°F partly cloudy,Run,"Listening to REAMDE by Neil Stephenson. 18/38 hrs.

72.5/100 mile July goal.",2385,7.24,,false,"",
2551285990,"Jul 21, 2019, 2:55:34 PM","Supposed to be an early, cool, long, fast run. Alcohol had other plans. 79°F and sunny.",Run,"Listening to REAMDE by Neil Stephenson. 23/38 hrs.

77.5/100 mile July goal.",2266,6.41,,false,"",activities/2551285990.gpx
2556079425,"Jul 23, 2019, 11:16:42 AM",Can't beat a morning like this. 63°F and sunny.,Run,"Listening to REAMDE by Neil Stephenson. 29/38 hrs.

82/100 mile July goal.",2524,7.69,,false,"",activities/2556079425.gpx
2557851218,"Jul 23, 2019, 11:24:10 PM",Happy's gonna happy. 81°F and gorgeous.,Run,"Listening to REAMDE by Neil Stephenson. 35/38 hrs.

85/100 mile July goal.",1556,5.01,0,false,"",activities/2714711379.tcx.gz
2561809720,"Jul 25, 2019, 11:27:00 AM",Cool runnings. 64°F and humid.,Run,"Listening to Norse Mythology by Neil Gaiman. 1/6 hours.

89/100 mile July goal.",1907,6.02,5,false,"",activities/2718788916.tcx.gz
2564387859,"Jul 26, 2019, 11:37:03 AM","Everyone out running this morning. Watch didn't track first half of run ☹️. 4mi, 70°F and still.",Run,"Listening to Alter by Jeremy Robinson. 1/10 hours.

93/100 mile July goal.",1167,3.55,,false,"",activities/2564387859.gpx
2567334110,"Jul 27, 2019, 1:52:37 PM","Shake-out before tomorrow's 10k. Slow, easy, fun. 70°F, sunny, breezy.",Run,"Listening to Cadence of Hyrule. Music, for a change.

94/100 mile July goal.",1646,4.93,,false,"",activities/2567334110.gpx
2571551744,"Jul 28, 2019, 11:02:26 PM","iTap 10k... with DETERMINATION. #19/75. 85°F, cloudy, windy.",Run,"Aiming for 8min/mile, and nailed it.

100/100 mile July goal!",2902,9.94,,false,"",activities/2571551744.gpx
2575346888,"Jul 30, 2019, 11:32:09 AM","Cool air and hanging fog in the sun. 68°F, sunny.",Run,"Need to get out of bed earlier for longer runs.

Listening to Gone World by Tom Sweterlitsch. 2/14 hours.

103/100 mile July goal.",1573,5.05,,false,"",activities/2575346888.gpx
2582648497,"Aug 1, 2019, 9:20:11 PM","Post-work, pre-spin class run. Because I guess I hate happiness. 80°F, dry, breezy.",Run,Listening to The Gone World by Tom Sweterlitsch. 9/14 hours.,2151,7.08,,false,"",activities/2582648497.gpx
2586649514,"Aug 3, 2019, 11:56:51 AM",Horse Buddy! Running through the backwood gravel roads of Rolla. 66°F and foggy.,Run,Listening to The Gone World by Tom Sweterlitsch. 12/14 hours.,2642,6.85,,false,"",activities/2586649514.gpx
